"ID";"regiao.wgts";"P02";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P22_A";"P22_B";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"P35";"P36";"P38";"P39";"P40";"P41";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V13";"V14";"V15";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts";"porte.wgts"
"665";4;41;2;3;1;1;3;"1";"1";"1";"1";"1";"1";"1";"2";2;1;4;1;1;2;2;1;1;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;1;3;1;52;5;4;1;1;;;;5;1;97;1;"85787.20077336";"2356901.94647081";"3392772.73855813";"2443804.96747532";0,573227083572636;3948,94988744846;4;4;3;3
"666";4;41;2;2;1;1;3;"2";"2";"2";"1";"2";"2";"1";"2";2;1;4;1;2;1;1;2;2;2;"1";"2";"2";"2";"2";1;1;2;2;2;2;1;2;;1;2;1;2;1;2;2;2;2;2;2;2;6;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;1;6;1;68;1;3;1;2;2;2;2;;2;2;4;"10072401.6435758";"3549069.08752912";"3480847.43992385";"2443804.96747532";0,573227083572636;18597,736217806;5;3;1;3
"667";1;13;3;2;1;2;3;"2";"2";"2";"2";"1";"2";"2";"1";2;1;1;1;1;2;2;2;97;1;"1";"2";"2";"2";"2";1;1;2;2;2;2;1;1;;;2;2;1;2;2;2;2;2;2;2;1;4;2;2;2;2;2;2;2;2;2;2;2;2;;;3;3;1;1;1;1;56;1;3;1;1;;;;7;4;3;4;"1440823.54572169";"1088578.61259989";"2358346.69976694";"2363871.19571558";0,66783683765181;42233,7837039396;4;3;1;1
"668";4;41;2;1;1;1;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;4;1;1;2;2;2;2;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;1;1;1;3;1;49;1;3;1;1;;;;2;1;3;4;"10072401.6435758";"2281776.21520491";"3480847.43992385";"5811472.35270075";0,839532159865571;26464,910176329;3;3;1;2
"669";1;15;3;2;1;1;4;"2";"2";"2";"1";"2";"2";"2";"2";3;2;4;2;1;2;2;2;3;1;"1";"2";"2";"2";"2";1;1;2;2;2;2;1;2;;1;1;1;2;2;1;2;2;2;2;2;2;3;1;1;1;1;1;2;1;1;2;2;1;1;1;1;6;1;1;1;5;1;40;3;3;1;1;;;;3;1;2;4;"5164153.94647996";"1349979.57783012";"2358346.69976694";"2363871.19571558";0,179930621055583;8637,25999849535;3;3;4;1
"670";2;29;3;1;1;1;4;"2";"1";"2";"2";"2";"2";"1";"1";1;2;5;1;1;1;2;1;2;1;"2";"2";"1";"1";"1";2;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;6;2;32;3;4;1;1;;;;2;1;3;1;"14898000.1979184";"4474385.18221597";"4208133.6330169";"7731021.03806011";0,580278168423321;12714,0977910775;2;4;4;2
"671";1;17;3;2;1;1;2;"1";"1";"1";"1";"1";"1";"1";"2";2;2;1;2;2;2;2;2;3;2;"1";"2";"1";"2";"1";2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;2;1;2;1;30;2;4;2;2;2;2;2;;2;2;4;"549242.77217448";"1410601.17309659";"1499244.44762391";"2828257.81207705";0,239731863563941;4538,40931008892;2;4;2;2
"672";4;42;2;2;1;1;3;"2";"2";"2";"1";"2";"2";"2";"2";1;1;3;1;1;1;2;2;1;2;"2";"2";"1";"2";"2";1;2;2;1;2;2;1;1;;;2;2;1;2;2;2;1;2;2;2;2;5;1;2;1;2;2;2;1;2;2;2;1;2;1;2;3;3;1;1;2;1;40;1;4;1;1;;;;2;1;4;4;"10072401.6435758";"2281776.21520491";"3392772.73855813";"5811472.35270075";0,455385003963667;10436,0111996645;3;4;1;2
"673";2;21;3;3;1;1;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;4;1;1;2;2;2;2;1;"1";"2";"2";"2";"2";2;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;1;1;2;2;2;2;2;2;3;1;1;1;3;1;33;2;4;1;2;2;1;1;;1;2;4;"2834846.37084543";"4474385.18221597";"4208133.6330169";"10613747.399869";0,661613246968632;19359,9085739542;2;4;2;1
"674";2;25;3;2;1;1;4;"2";"2";"2";"1";"2";"2";"2";"2";3;1;1;1;1;1;1;2;3;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;2;1;1;1;1;53;1;1;;2;2;1;2;;1;2;97;"6273888.68778369";"3882757.46528652";"8995626.46137368";"10613747.399869";0,66433961503718;72903,8262505336;4;1;1;1
"675";2;22;3;1;1;1;4;"1";"1";"1";"2";"1";"2";"1";"2";2;3;5;2;1;1;2;2;3;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;1;1;1;1;52;3;2;2;2;2;2;2;;1;2;4;"14898000.1979184";"3882757.46528652";"8995626.46137368";"5881277.34048095";1,2197402756291;35808,0142254938;4;1;4;3
"676";5;52;2;3;1;1;3;"2";"2";"2";"1";"2";"2";"2";"2";2;2;3;1;2;1;2;2;2;1;"2";"2";"1";"2";"1";1;2;2;1;2;2;1;1;;;2;2;1;2;2;2;1;2;1;2;2;5;1;2;2;2;2;2;1;1;2;2;2;2;2;2;3;3;1;1;2;1;40;1;3;1;1;;;;1;1;97;3;"2544897.92588269";"1357583.87039275";"1927007.87039979";"1954125.97753969";1,0009028249611;35755,7709767207;3;3;1;2
