"ID";"regiao.wgts";"P05";"P06";"P07";"P08";"P09";"P10_01";"P10_02";"P10_03";"P10_04";"P10_05";"P10_06";"P10_07";"P10_08";"P10_09";"P11";"P12";"P12_A";"P13_01";"P13_02";"P13_03";"P13_04";"P13_A";"P14";"P15";"P16";"P17";"P17_A_01";"P17_A_02";"P17_A_03";"P17_A_04";"P17_A_05";"P17_A_06";"P17_A_07";"P18";"P18_A";"P18_B";"P18_C_01";"P18_C_02";"P18_C_03";"P18_C_04";"P18_C_05";"P18_C_06";"P19";"P20_01";"P20_02";"P20_03";"P20_04";"P20_05";"P20_06";"P21_01";"P21_02";"P21_03";"P21_04";"P21_05";"P21_06";"P21_09";"P21_10";"P22_01";"P22_02";"P22_03";"P22_04";"P22_05";"P22_06";"P22_07";"P22_08";"P22_09";"P22_10";"P22_11";"P22_12";"P22_13";"P22_14";"P22_15";"P22_16";"P22_17";"P22_A";"P22_B";"P22_C";"P22_D";"P23";"P24";"P25";"P26";"P26_A";"P27";"P28_01";"P28_02";"P28_03";"P28_04";"P28_05";"P28_06";"P28_07";"P28_08";"P28_09";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_A_01";"P30_A_02";"P30_A_03";"P30_A_04";"P30_A_05";"P30_A_06";"P36";"P38";"edu.cruz";"idade.cruz";"regiao.cruz";"trab.cruz";"raca.cruz";"renda.simples";"renda.cruz";"religiao.simples";"religiao.cruz";"POP_regiao_raca";"POP_regiao_idade";"POP_regiao_edu";"W1";"W2";"idade.wgts";"edu.wgts";"raca.wgts"
"1984";3;2;1;2;1;3;1;2;2;1;2;2;2;2;2;2;2;3;1;2;2;1;2;4;1;2;1;2;2;2;2;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;3;3;1;3;1;1;0;0;2;2;19504421;8791280;11830617;1,790415;64647,97;1;3;1
"1985";2;3;1;1;1;2;1;2;2;2;1;2;2;2;2;2;2;5;2;2;2;2;2;97;2;2;3;2;2;2;2;2;2;2;;1;1;1;1;1;2;1;2;1;2;1;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;2;2;2;2;2;2;2;2;2;2;2;2;6;;3;2;2;3;2;97;;2;2;2678540;4680529;6475162;1,096971;39609,23;2;3;2
"1986";3;3;1;2;1;3;1;2;2;1;2;2;2;2;2;2;2;4;1;2;1;97;2;4;1;3;1;2;2;2;2;2;2;2;4;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;3;1;3;2;4;0;0;2;2;13960677;8791280;11830617;0,5624834;20310,04;1;3;4
"1987";2;3;1;1;1;3;2;2;2;1;2;2;1;2;2;2;2;1;1;1;1;1;2;4;1;3;1;2;2;2;2;2;2;2;11;2;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;1;3;3;2;1;3;3;3;1;1;222828,2;4033402;6475162;0,1531451;5529,735;3;3;3
"1988";3;2;1;1;1;3;1;1;2;2;2;2;2;2;2;2;3;5;1;2;1;2;2;4;1;3;1;2;2;2;2;2;2;2;11;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;;;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;4;2;1;2;2;2;2;1;1;2;2;2;2;6;;3;3;3;2;1;3;3;1;1;19504421;6591592;11830617;0,4516243;16307,16;3;3;1
"1989";2;2;2;2;1;3;2;1;2;2;2;2;2;2;2;2;2;3;1;1;1;1;2;4;1;3;97;2;2;2;2;2;2;2;;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;;2;2;2;;;;2;2;2;2;2;2;2;1;2;4;2;1;1;2;2;2;2;2;2;2;2;2;;1;3;3;2;1;4;0;0;2;2;14461864;4033402;6475162;0,6123264;22109,76;3;3;4
"1990";5;2;1;1;1;3;2;2;2;1;2;2;2;2;2;2;1;3;1;2;2;2;2;2;1;3;1;2;2;2;2;2;2;2;11;1;97;1;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;2;2;2;;;;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;3;;2;1;5;3;2;97;;1;1;598750,9;1692838;972928,2;1,263111;45608,16;1;2;2
"1991";3;3;1;1;1;3;2;2;2;2;2;2;2;2;1;1;2;5;1;1;2;2;2;2;1;3;1;2;2;2;2;2;2;2;11;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;1;4;1;3;1;4;3;3;2;2;13960677;8791280;9667488;0,9978608;36030,56;1;4;4
"1992";4;2;3;1;1;4;2;2;2;2;1;2;1;2;2;2;2;3;1;2;2;2;2;4;2;1;1;2;2;2;2;2;2;2;5;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;4;;2;2;4;3;1;3;3;2;2;9518913;2302991;2061171;0,858365;30993,68;2;2;1
"1993";2;3;3;97;1;3;2;2;2;2;2;2;2;2;2;2;3;5;1;2;1;1;2;4;1;2;2;2;2;1;2;2;2;2;97;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;2;;3;1;5;2;1;2;0;0;1;1;2678540;4695309;9306847;2,84389;102686,6;5;1;2
